pathway	SL1	SL2	SL3	SL4	SL5	SL6	SL7	SL8	SL9	SL10	SL11	SL12	SL13	SL14	SL15	SL16	SL17	SL18	SL19	SL20	SL21
PWY-6588	0.0	0.0	0.0	1.2975	0.0	0.0	0.0	227.7344	229.4173	122.2259	98.0298	223.5145	84.8244	198.0477	0.0	0.0	1.7595	0.44	0.4399	0.0	0.0
PWY-6608	11929.8355	12767.1231	12258.6117	12173.4107	8032.949	6741.8518	8487.1881	10690.6638	11447.7191	13220.8435	13110.2661	11872.1932	11995.7485	9829.371	16573.0288	19727.0145	19328.4508	19252.2658	18683.9703	19936.9045	17375.9541
PWY-6609	8558.4387	8891.8962	8482.4201	8495.2441	5870.4874	4888.1856	6205.0821	8584.2007	7771.6455	8766.5463	8373.96	7751.2454	7540.7728	6944.7626	11226.8005	12565.6627	12444.3434	12050.692	11821.1914	12072.7042	11522.3952
PWY-6612	8248.1427	7580.3441	7553.6115	7476.5155	7376.6027	6794.8474	7422.6043	6496.8731	6032.6547	5971.5988	5617.8926	6813.9239	6246.9512	7579.3463	4322.8865	2139.2727	2097.7727	2138.5242	2105.0151	1908.2237	2315.3025
PWY-6628	9898.7229	9997.661	9791.5097	9809.6778	8009.5201	7409.4964	8489.8231	7058.5869	7809.7754	8374.4189	8721.3781	8070.8743	7912.3878	7845.5794	9347.493	10334.9758	10238.5411	10315.6991	9706.4276	9967.7357	9260.0605
PWY-6630	9754.9869	9937.5857	9698.0955	9728.2714	7908.0967	7316.1308	8386.2468	6525.3259	7542.5326	8084.9549	8376.4178	7655.6483	7546.6451	7318.6968	8833.092	10077.5399	9943.3605	10006.7178	9412.1103	9769.0101	8917.2993
PWY-6641	6823.174	6460.0969	6137.8475	5976.6045	5064.2369	4110.1563	5145.2097	1481.4114	1109.7694	1083.0812	915.741	1696.295	1497.1365	1313.2048	1067.6829	267.1541	301.3514	267.4966	438.0726	395.7843	528.0631
PWY-6700	10349.8475	10443.33	10332.3074	10394.23	8784.5	8295.845	9426.42	10365.1782	9356.5972	9847.4841	10032.3933	9367.884	9018.7291	9413.3466	10927.6611	11515.4216	11567.1548	11455.7879	10841.57	10626.8215	10782.9477
PWY-6703	4170.4969	3487.8526	3948.847	4160.6501	4094.287	4349.5468	5021.7377	4132.6711	4822.9957	4519.3919	4977.1263	4300.7611	4224.4656	4651.1846	2372.4242	2240.4239	2352.1751	2797.1336	1960.5843	1780.7968	1852.7015
PWY-6708	10383.6202	10492.0843	10402.592	10458.4156	8923.6475	8491.0662	9537.1223	6499.928	8495.829	8689.4636	9351.2223	9139.8804	8964.6485	9168.7835	8245.7215	9124.2329	8937.9017	9430.5447	8650.4991	9424.5859	7732.4822
PWY-6737	3776.506	4957.9718	4870.1092	4932.4061	3791.6302	4045.2301	4173.8079	3258.6715	4535.0164	5262.6626	5254.3533	3916.8596	4253.3959	2572.6578	6481.3443	7280.2072	7071.0723	7308.1932	7234.4138	8214.6012	6298.0014
PWY-6749	2309.1568	2823.0374	2863.1122	2912.7207	1747.5995	1014.5736	2015.4433	476.3471	288.4125	207.5142	209.6406	307.0294	138.2102	223.5593	121.1338	47.8767	81.635	67.1043	21.3144	12.6516	31.2788
PWY-6876	0.0	0.0	0.0	1.2975	0.0	0.0	0.0	28.3455	32.9334	39.3724	35.6848	78.2441	55.8587	78.0899	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6891	129.5807	176.4989	186.9384	134.7866	1104.7236	1251.6344	575.3773	453.5903	427.2373	305.8561	222.2985	47.3522	36.5464	66.5956	43.2223	6.0661	5.2758	15.0198	10.2292	6.0649	40.6375
PWY-6892	161.5722	219.7588	232.747	168.0013	1348.5459	1521.1868	710.9366	557.5612	527.8312	378.8889	276.395	59.122	45.6414	83.122	53.9265	7.5806	6.5932	18.7646	12.78	7.5787	50.6848
PWY-6895	592.4632	769.7611	818.7797	613.677	3206.3865	3521.7258	2147.5923	1772.4323	1691.4495	1272.7919	979.0224	229.1522	177.9366	319.8855	208.208	30.1652	26.2593	74.1628	50.6091	30.0843	195.5419
PWY-6897	5596.9279	4902.0833	5306.2648	5496.1973	6101.8822	6397.2596	6712.4287	5642.6638	6060.3725	5575.2552	6104.6141	5836.523	5464.6418	6669.8578	4286.3471	4677.909	4829.167	4666.2997	3822.8629	2863.3691	4431.6206
PWY-6901	2583.8898	3049.6419	3152.8403	2675.9424	4629.4158	3567.9117	4349.3431	2165.0518	1677.5913	1302.1991	1289.9622	1687.007	913.424	1297.5824	443.4651	108.6707	95.3814	192.8721	121.8114	63.7767	206.4509
PWY-6969	11801.1898	12077.7306	11924.0186	12198.6128	10366.6182	9850.2437	11306.4677	11327.5413	10021.9676	10117.9529	10657.6409	9803.8511	9500.2	10177.5061	11701.7899	11953.4086	12079.6471	11760.0906	11276.8362	10343.681	11451.8789
PWY-7003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1305	0.0	0.0	0.0
PWY-7046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.1862	1.321	6.7667	8.8973	10.6112	4.5494	0.0	0.0	0.0	1.9903	1.3243	0.0	0.0
PWY-7094	13194.262	14122.1903	13615.1414	14009.7219	11884.8488	10997.4496	12756.819	12582.2705	9563.9574	9209.9199	7713.9235	6670.3363	5883.8454	7569.4739	9640.6193	9961.3944	10285.1846	8872.2241	8336.3249	5678.8846	10157.8771
PWY-7111	23981.2962	25517.4651	24995.46	25089.8863	19016.4683	16785.7301	20630.7569	14428.7387	17703.8181	18484.5181	19347.6706	17781.0323	17515.7346	16648.7958	18591.6355	21015.0409	20613.3595	21318.7191	19692.662	21543.2595	17747.007
PWY-7159	2772.9517	3550.3753	3469.9547	3536.8259	2120.7462	1380.4512	2472.2683	1182.7838	1508.6047	1469.5134	1226.2223	3811.5418	3395.9239	4357.241	664.6825	734.9553	739.4647	715.2392	714.3948	574.619	896.7787
PWY-7184	10786.4377	10471.1183	10509.4929	10565.9176	9453.2686	8864.4849	10080.9122	8591.5799	8755.7551	8823.5465	9169.3684	8961.7525	8487.1186	9357.8043	8781.3395	8701.046	8981.7411	8717.4946	7944.3517	6495.7329	8524.8931
PWY-7187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1909.1901	3331.1279	3135.6304	2805.1389	3678.8939	3712.816	2989.6316	0.0	0.0	4.3978	1.0999	1.0998	0.0	0.0
