pathway	SL1	SL2	SL3	SL4	SL5	SL6	SL7	SL8	SL9	SL10	SL11	SL12	SL13	SL14	SL15	SL16	SL17	SL18	SL19	SL20	SL21
CATECHOL-ORTHO-CLEAVAGE-PWY	624.977	303.7377	426.9376	514.7168	124.1515	21.8896	503.6195	56.348	10.6182	3.9941	5.3277	0.0	4.6562	9.3265	7.3142	0.0	1.3377	0.6594	0.0	0.0	2.6542
CHLOROPHYLL-SYN	948.7612	501.3193	689.1414	819.2748	209.0653	37.8752	775.9719	6.9742	2.3427	4.6456	0.0	190.5309	37.0725	49.7679	180.5919	79.5042	133.1694	112.9984	38.9345	21.6858	53.1706
COA-PWY	10554.633	10559.8882	10488.4922	10568.4581	8881.5757	8469.0064	9699.4981	9472.93	8946.49	9378.105	9710.11	9210.4136	9071.2693	9342.667	10287.075	10925.3925	10935.64	10939.8574	10623.7313	10629.5402	10490.0354
COBALSYN-PWY	8261.484	9558.9436	9072.8311	9108.7778	6717.671	6438.1762	7411.6952	4077.8617	5944.0169	6240.9791	6353.062	5884.7424	6114.9157	5287.5862	6128.7167	7137.8662	6875.1265	7184.6129	7275.4356	8446.4314	6279.8942
COLANSYN-PWY	6309.8751	7495.7316	7531.6256	7742.4735	5862.0635	5948.9175	7144.6124	2943.5748	1770.0106	1296.6657	1054.0145	3564.5499	3508.7669	3735.0749	1685.6373	5177.8012	5086.5706	4307.7249	4899.8696	3902.9936	5738.4493
COMPLETE-ARO-PWY	11720.0879	11878.41	11818.8282	11916.2521	10022.338	9651.4118	11031.5896	9283.7447	9457.7659	9813.2223	10262.4489	10014.1883	10026.3086	10244.7488	10635.0798	11474.2344	11440.4981	11483.3746	11416.4736	11519.2983	11241.2596
CRNFORCAT-PWY	7698.5467	8896.6345	8734.8913	8729.1545	4969.0429	3534.5292	5569.7949	3636.9188	6150.254	6923.8558	7156.6001	5791.5627	6219.8755	3532.7018	7725.1609	10385.1403	9979.4405	10188.4055	9758.7028	11188.1489	8479.2494
DAPLYSINESYN-PWY	11835.1121	11983.0745	11859.182	11868.8164	10198.8876	9803.8001	10933.4715	9913.5712	10255.3344	10774.5663	11208.1186	10632.2473	10585.2626	10548.0443	11766.9387	12787.8692	12752.6047	12790.9566	12493.4513	12563.4506	12188.3238
DENITRIFICATION-PWY	1.3389	0.0	0.0	1.3395	0.0	0.0	0.0	32.2972	31.7724	37.2472	32.348	21.7375	21.8258	45.4705	3.9716	6.3284	1.9634	3.1632	1.9224	1.9057	0.6503
DENOVOPURINE2-PWY	656.1272	780.1497	864.0238	730.3925	1279.9928	2808.6044	2429.5027	2329.876	4064.3204	3861.2199	3402.5106	6558.1659	7203.4227	6872.8624	3.7939	0.0	5.0581	24.2225	4775.969	4690.735	5358.0031
